251Ê : 	 my number 12775 	 his number 19035
252 : 	 my number 13609 	 his number 13784
253 : 	 my number 28314 	 his number 29879
254 : 	 my number 12984 	 his number 13165
255 : 	 my number 11680 	 his number 15437
256 : 	 my number 31390 	 his number 31388
257 : 	 my number 29930 	 his number 25072
257Ê : 	 my number 7821 	 his number 7824
258 : 	 my number 14235 	 his number 22161
260 : 	 my number 14861 	 his number 14865
261 : 	 my number 20596 	 his number 20423
262 : 	 my number 20440 	 his number 20443
263 : 	 my number 1981 	 his number 8082
264 : 	 my number 37439 	 his number 41456
266 : 	 my number 40724 	 his number 42655
267 : 	 my number 46876 	 his number 49373
268 : 	 my number 33163 	 his number 33552
268Ê : 	 my number 9490 	 his number 9485
269 : 	 my number 10064 	 his number 9022
269Ê : 	 my number 3911 	 his number 3913
27 : 	 my number 8604 	 his number 8799
271 : 	 my number 8134 	 his number 9855
272 : 	 my number 30139 	 his number 28834
272Ê : 	 my number 16686 	 his number 15276
273 : 	 my number 7300 	 his number 7300
274 : 	 my number 19606 	 his number 20309
275 : 	 my number 11159 	 his number 17149
276 : 	 my number 34310 	 his number 32636
278 : 	 my number 20649 	 his number 21941
279 : 	 my number 14861 	 his number 15768
28 : 	 my number 33997 	 his number 39034
280 : 	 my number 10324 	 his number 13191
281 : 	 my number 26019 	 his number 26067
283 : 	 my number 20492 	 his number 13244
284 : 	 my number 17051 	 his number 16428
285 : 	 my number 8760 	 his number 3647
286 : 	 my number 7300 	 his number 7297
287 : 	 my number 11211 	 his number 9121
288 : 	 my number 30869 	 his number 30977
289 : 	 my number 27688 	 his number 30452
29 : 	 my number 20596 	 his number 13721
291 : 	 my number 3754 	 his number 4539
292 : 	 my number 65126 	 his number 72345
293 : 	 my number 16842 	 his number 16836
295 : 	 my number 30243 	 his number 31012
296 : 	 my number 44217 	 his number 50094
297 : 	 my number 32016 	 his number 32015
298 : 	 my number 17833 	 his number 18355
299 : 	 my number 8447 	 his number 11210
29Ê : 	 my number 3024 	 his number 3231
3 : 	 my number 35979 	 his number 39894
30 : 	 my number 11002 	 his number 13607
303 : 	 my number 1095 	 his number 1088
304 : 	 my number 18354 	 his number 21399
31 : 	 my number 24142 	 his number 24013
32 : 	 my number 22161 	 his number 18445
321 : 	 my number 15695 	 his number 15699
33 : 	 my number 25133 	 his number 31072
34 : 	 my number 23673 	 his number 23207
349 : 	 my number 12984 	 his number 18985
34Ê : 	 my number 11732 	 his number 11870
35 : 	 my number 9177 	 his number 13823
36 : 	 my number 6674 	 his number 6805
363 : 	 my number 26697 	 his number 21681
37 : 	 my number 34258 	 his number 36916
38 : 	 my number 16112 	 his number 17048
384 : 	 my number 2659 	 his number 11784
385 : 	 my number 4171 	 his number 7825
39 : 	 my number 18406 	 his number 18407
393 : 	 my number 8969 	 his number 11053
398 : 	 my number 30399 	 his number 34363
4 : 	 my number 15539 	 his number 16693
40 : 	 my number 16112 	 his number 16066
400 : 	 my number 27949 	 his number 28468
400Ê : 	 my number 21326 	 his number 21326
400Ò : 	 my number 40411 	 his number 41979
400İ : 	 my number 64136 	 his number 62830
42 : 	 my number 18667 	 his number 18665
420 : 	 my number 30399 	 his number 29637
43 : 	 my number 57670 	 his number 54352
433 : 	 my number 30816 	 his number 33992
444 : 	 my number 9646 	 his number 18511
45 : 	 my number 19449 	 his number 19450
46 : 	 my number 15382 	 his number 15380
462 : 	 my number 10533 	 his number 8660
